Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      36.8109 10.8663 0.855725 332.597 57.1968 
2      69.7951 8.67859 0.767736 340.803 116.383 
3      102.64 6.92217 0.671479 346.442 337.235 
4      135.474 5.69357 0.596725 349.85 153.313 
5      168.315 5.0325 0.565355 352.521 273.427 
6      201.142 4.72109 0.551132 354.954 185.831 
7      233.904 4.48948 0.540879 357.186 203.441 
8      266.612 4.31636 0.544891 359.332 247.983 
9      299.295 4.1547 0.487909 361.274 161.483 
10     331.925 4.0677 0.509502 362.949 196.375 
11     364.547 3.92691 0.496996 364.636 233.545 
12     397.199 3.86063 0.496215 366.164 206.306 
13     429.84 3.77103 0.493706 367.54 212.093 
14     462.472 3.68042 0.492008 368.937 178.393 
15     495.148 3.61473 0.482555 370.292 185.144 
16     527.815 3.53566 0.481125 371.609 207.588 
17     560.466 3.49184 0.467283 372.822 213.009 
18     593.122 3.41382 0.467008 374.036 219.107 
19     625.785 3.36461 0.467521 375.203 181.217 
20     658.46 3.30077 0.45183 376.373 235.615 
21     691.116 3.25793 0.454653 377.536 211.169 
22     723.789 3.20967 0.457977 378.71 242.692 
23     756.474 3.18633 0.458068 379.682 222.93 
24     789.119 3.13119 0.436015 380.78 167.164 
25     821.789 3.08812 0.435053 381.896 195.396 
26     854.49 3.04259 0.434604 382.979 196.406 
27     887.165 3.02313 0.440257 383.983 206.304 
28     919.821 2.98697 0.426464 385.02 228.798 
29     952.485 2.95269 0.428385 386.072 212.099 
30     985.185 2.91226 0.424755 387.07 197.779 
31     1017.86 2.89749 0.426675 388.069 197.514 
32     1050.54 2.85227 0.424781 389.095 243.563 
33     1083.23 2.82216 0.422528 390.099 212.499 
34     1115.91 2.80617 0.411528 391.091 192.04 
35     1148.59 2.7808 0.410728 392.085 238.006 
36     1181.29 2.76257 0.423162 393.082 213.535 
37     1213.96 2.72897 0.421487 394.02 247.191 
38     1246.63 2.71402 0.404015 395.038 230.149 
39     1279.32 2.68615 0.418475 395.981 222.363 
40     1312.02 2.66882 0.401513 396.911 272.073 
41     1344.71 2.63259 0.415196 397.878 237.891 
42     1377.35 2.6213 0.396075 398.82 231.358 
43     1410.04 2.61382 0.408709 399.759 223.308 
44     1442.72 2.57248 0.40346 400.745 259.997 
45     1475.38 2.56842 0.394264 401.62 231.544 
46     1508.07 2.5458 0.406838 402.554 254.483 
47     1540.76 2.52098 0.392072 403.447 248.12 
48     1573.44 2.50838 0.406483 404.374 220.302 
49     1606.11 2.48505 0.388049 405.329 311.241 
50     1638.77 2.46531 0.389136 406.222 269.844 
51     1671.46 2.46722 0.403245 407.132 241.973 
52     1704.13 2.43098 0.398313 408.011 249.731 
53     1736.82 2.4269 0.3776 408.901 258.368 
54     1769.51 2.39807 0.40294 409.782 260.705 
55     1802.16 2.3953 0.393098 410.732 232.391 
56     1834.84 2.37175 0.376947 411.607 233.868 
57     1867.53 2.36744 0.375445 412.442 301.37 
58     1900.2 2.34562 0.399264 413.326 250.686 
59     1932.86 2.33854 0.374506 414.154 313.711 
60     1965.53 2.3206 0.398117 414.996 269.307 
61     1998.23 2.30601 0.374098 415.833 262.928 
62     2030.91 2.29414 0.396392 416.711 292.849 
63     2063.59 2.28073 0.392596 417.577 285.771 
64     2096.29 2.26893 0.367426 418.391 276.475 
65     2128.99 2.24752 0.396691 419.238 271.211 
66     2161.67 2.2404 0.375875 420.121 280.628 
67     2194.37 2.22622 0.366151 420.952 231.999 
68     2227.06 2.21782 0.383506 421.756 262.127 
69     2259.72 2.2013 0.360913 422.54 269.053 
70     2292.42 2.18695 0.387004 423.326 292.503 
71     2325.13 2.17537 0.364347 424.152 265.646 
72     2357.8 2.17124 0.381683 424.954 237.41 
73     2390.46 2.1565 0.391426 425.735 248.955 
74     2423.15 2.16228 0.386989 426.498 292.202 
75     2455.83 2.14196 0.36206 427.303 306.026 
76     2488.51 2.12991 0.385502 428.067 294.637 
77     2521.21 2.11605 0.3582 428.911 252.128 
78     2553.91 2.10866 0.395125 429.648 266.337 
79     2586.61 2.10259 0.373117 430.375 250.767 
80     2619.31 2.0866 0.368034 431.184 290.924 
81     2652.01 2.08279 0.388  431.918 282.238 
82     2684.73 2.07108 0.356525 432.679 283.412 
83     2717.41 2.05672 0.377706 433.44 267.327 
84     2750.12 2.05475 0.378034 434.206 293.7  
85     2782.83 2.0371 0.35686 434.94 283.564 
86     2815.5 2.02579 0.386358 435.69 271.418 
87     2848.21 2.02156 0.357347 436.422 315.663 
88     2880.91 2.01391 0.380215 437.181 361.43 
89     2913.6 2.00569 0.355475 437.885 285.543 
90     2946.27 2.0018 0.380966 438.636 258.438 
91     2978.98 1.98393 0.350849 439.353 287.025 
92     3011.69 1.9796 0.383955 440.017 322.841 
93     3044.4 1.9672 0.354389 440.772 344.359 
94     3077.13 1.95729 0.355875 441.542 309.753 
95     3109.85 1.95324 0.3798 442.244 291.98 
96     3142.57 1.9521 0.370494 442.908 323.222 
97     3175.29 1.93702 0.355158 443.584 310.613 
98     3208.01 1.92578 0.372109 444.311 285.723 
99     3240.75 1.9242 0.352196 445.024 300.109 
100    3273.45 1.91508 0.378298 445.635 351.159 
Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      52.4047 10.8641 0.788364 332.609 57.1968 
2      100.246 8.71151 0.584855 340.824 132.871 
3      147.767 6.8127 0.353773 346.48 265.589 
