Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      95.0905 10.5145 0.795037 629.312 111.72 
2      184.423 7.9755 0.613131 638.323 111.875 
3      273.565 5.79043 0.431437 646.255 213.736 
4      363.169 4.35897 0.323724 651.638 168.706 
5      452.768 3.64034 0.233499 655.688 193.853 
6      542.213 3.24204 0.2145 659.152 229.782 
7      632.119 2.98994 0.177433 662.024 204.036 
8      721.761 2.78826 0.169224 664.562 264.007 
9      811.302 2.63632 0.158595 666.833 210.251 
10     887.942 2.52437 0.146602 668.903 261.079 
11     934.985 2.42248 0.14786 670.648 226.751 
12     982.037 2.32814 0.141295 672.38 251.933 
13     1029.09 2.25371 0.133159 673.999 231.319 
14     1076.14 2.19643 0.137342 675.413 267.413 
15     1123.07 2.11766 0.129839 676.913 261.204 
16     1169.97 2.06679 0.134109 678.221 261.839 
17     1217.03 2.00879 0.122466 679.586 252.502 
18     1263.97 1.96534 0.133563 680.822 245.905 
19     1310.89 1.91575 0.130854 682.066 300.984 
20     1357.86 1.88136 0.126511 683.257 280.123 
21     1404.77 1.84656 0.125689 684.389 287.625 
22     1451.72 1.80257 0.129417 685.51 304.583 
23     1498.62 1.77818 0.125257 686.564 276.828 
24     1545.56 1.74707 0.110859 687.663 293.808 
25     1592.48 1.722  0.119711 688.707 282.601 
26     1639.4 1.69779 0.118425 689.774 317.819 
27     1686.35 1.66668 0.108783 690.828 307.069 
28     1733.27 1.63907 0.109949 691.828 329.185 
29     1780.22 1.61691 0.121579 692.86 285.618 
30     1827.16 1.60284 0.124164 693.798 314.35 
31     1874.12 1.57676 0.110216 694.828 359.225 
32     1921.07 1.56406 0.0999403 695.778 361.182 
33     1968.01 1.53876 0.107066 696.768 306.684 
34     2014.95 1.5341 0.111745 697.666 383.319 
35     2061.89 1.51501 0.117778 698.599 320.679 
36     2108.82 1.49914 0.100973 699.518 342.919 
37     2155.74 1.48712 0.112787 700.413 325.128 
38     2202.68 1.46731 0.0789669 701.347 371.806 
39     2249.58 1.45076 0.0745638 702.234 333.848 
40     2296.51 1.44386 0.0742057 703.135 434.922 
41     2343.44 1.43126 0.085932 703.999 350.244 
42     2390.35 1.41824 0.0810836 704.817 400.505 
43     2437.29 1.40786 0.0863866 705.68 380.904 
44     2484.22 1.40165 0.0552617 706.501 342.985 
