Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      357.665 8.84471 0.387794 862.98 204.585 
2      708.868 6.0004 0.178376 865.692 277.077 
3      1061.63 5.18673 0.152388 867.126 341.641 
4      1413.07 4.73693 0.130773 868.531 415.361 
5      1764.66 4.41527 0.0932485 869.903 427.653 
6      2116.49 4.18794 0.0410273 871.382 433.321 
7      2467.88 4.00891 0.0396152 872.707 470.233 
8      2819.54 3.86722 0.028897 874.014 484.524 
9      3171.49 3.74573 0.0241727 875.293 523.578 
10     3524.3 3.64573 0.0171 876.548 442.437 
11     3876.29 3.56223 0.0129939 877.829 458.384 
12     4229.33 3.47994 0.0109424 879.08 486.03 
13     4582.75 3.39491 0.0100394 880.311 490.688 
14     4935.8 3.30847 0.0242818 881.509 493.692 
15     5289.58 3.24457 0.00846061 882.773 510.099 
16     5643.23 3.18992 0.0076 884.082 571.088 
17     5997.03 3.13227 0.00487273 885.415 557.635 
18     6348.86 3.07532 0.00548485 886.777 496.832 
19     6699.88 3.03193 0.00461818 888.162 547.819 
20     7050.96 2.98494 0.00282121 889.588 567.068 
Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      407.138 10.1896 0.595345 858.136 88.7126 
2      808.085 9.4139 0.252009 866.279 233.477 
3      1209.28 7.96278 0.204824 870.19 182.399 
4      1610.85 7.27812 0.174603 872.566 327.374 
5      2012.93 6.9299 0.156194 874.426 365.214 
6      2415.14 6.63029 0.163306 876.218 428.361 
7      2816.68 6.38396 0.150706 877.814 377.237 
8      3218.38 6.16784 0.128945 879.365 415.873 
9      3620.77 6.00605 0.127291 880.917 387.341 
10     4022.4 5.85539 0.1262 882.519 358.644 
11     4423.29 5.73685 0.0962909 884.116 454.885 
12     4825.17 5.61793 0.105215 885.686 397.213 
13     5227.58 5.50982 0.098697 887.435 376.568 
14     5629.52 5.42058 0.107342 889.255 510.745 
Dict{AbstractString,Any}("hidden"=>400,"lr"=>0.5,"dense"=>false,"dictfile"=>nothing,"batchsize"=>100,"winit"=>"Uniform(-0.08,0.08)","fast"=>false,"gclip"=>5.0,"gcheck"=>0,"fbias"=>0.0,"nosharing"=>false,"epochs"=>100,"ftype"=>"Float32","lossreport"=>0,"seed"=>42,"datafiles"=>Any["Input.txt"])
epoch  secs    ptrain  ptest.. wnorm  gnorm
1      345.86 8.8447 0.565181 862.98 204.448 
2      686.074 5.9978 0.356536 865.685 289.269 
3      1028.43 5.18167 0.279358 867.144 343.737 
4      1370.56 4.74174 0.219554 868.494 419.17 
5      1712.08 4.39483 0.228746 869.887 514.138 
6      2053.72 4.18445 0.163321 871.304 491.225 
7      2392.95 4.01585 0.178639 872.668 471.36 
8      2735.3 3.88228 0.160261 873.983 432.131 
9      3076.48 3.75965 0.14227 875.294 468.21 
10     3418.97 3.64555 0.136542 876.536 519.75 
11     3761.54 3.55737 0.115704 877.788 481.265 
12     4104.17 3.47625 0.0980452 879.001 485.74 
13     4446.9 3.39337 0.107237 880.23 505.746 
14     4789.99 3.32036 0.0988473 881.403 484.971 
15     5133.09 3.24903 0.0816162 882.686 460.543 
16     5472.94 3.18953 0.0684076 883.974 539.894 
17     5815.75 3.13719 0.0799881 885.311 519.988 
18     6156.33 3.08995 0.0668925 886.692 547.284 
19     6498.81 3.05026 0.0575163 888.075 572.546 
20     6841.66 3.00557 0.04388 889.522 596.073 
21     7183.36 2.96423 0.0589364 890.927 566.784 
